,daysOnMovoto,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsNumber,bath,bed,officeListName,propertyType,yearBuilt,zipCode,path,status,houseRealStatus,createdAt,onMarketDateTime,priceRaw,geo.state,geo.city,geo.zipcode,geo.address
1670,47,2021-03-12 00:00:00,Timothy Cannon,885000,2495,1248,421528726,2,3,SanFranRealEstate.Com,SINGLE_FAMILY_HOUSE,1952,94134,san-francisco-ca/667-campbell-ave-san-francisco-ca-94134/pid_dyrzoad48g/for-sale/,Pending,PENDING,2021-03-16 22:26:23,2021-03-12 00:00:00,885000,CA,San Francisco,94134,667 Campbell Ave
1671,47,2021-01-08 00:00:00,Larry Stiffler,2175000,1794,2108,421523733,2,3,Corcoran Global Living,MULTI_FAMILY,1900,94114,san-francisco-ca/1213-sanchez-st-apt-2-san-francisco-ca-94114-110_421523733/for-sale/,Pending,PENDING,2021-03-16 18:56:35,2021-01-08 00:00:00,2175000,CA,San Francisco,94114,1213 Sanchez St #2
1672,47,2021-03-01 00:00:00,Chris Panou,1275000,1601,0,421523772,1,1,Sotheby's International Realty,CONDO,1939,94110,san-francisco-ca/47-dolores-ter-san-francisco-ca-94110-110_410786/for-sale/,Pending,PENDING,2021-03-16 16:26:33,2021-03-01 00:00:00,1275000,CA,San Francisco,94110,47 Dolores Ter
1673,47,2021-03-01 00:00:00,Chris Panou,2550000,1601,2580,421523769,3,3,Sotheby's International Realty,MULTI_FAMILY,1939,94110,san-francisco-ca/45-dolores-ter-san-francisco-ca-94110/pid_03nyoad48g/for-sale/,Pending,PENDING,2021-03-16 16:21:29,2021-03-01 00:00:00,2550000,CA,San Francisco,94110,45 Dolores Ter
1674,47,2021-03-06 00:00:00,Anthony Christen,1247500,0,1713,421526142,2,1,Coldwell Banker Realty,CONDO,1998,94107,san-francisco-ca/21-stillman-st-3-san-francisco-ca-94107/pid_mlxyoad48g/for-sale/,Pending,PENDING,2021-03-16 07:31:14,2021-03-06 00:00:00,1247500,CA,San Francisco,94107,21 Stillman St #3
1675,47,2021-03-08 00:00:00,Masoumeh Pahlbod,925000,0,979,421528581,2,2,Engel & Voelkers San Francisco,CONDO,2004,94107,san-francisco-ca/260-king-st-525-san-francisco-ca-94107-110_428530/for-sale/,Pending,PENDING,2021-03-16 07:01:10,2021-03-08 00:00:00,925000,CA,San Francisco,94107,260 King St #525
1676,48,2021-03-11 00:00:00,Michael Annunziata,1388000,0,1457,421527943,2,3,North Point Real Estate,CONDO,2020,94121,san-francisco-ca/2224-clement-apt-108-san-francisco-ca-94121-110_505293/for-sale/,Active Under Contract,PENDING,2021-03-15 23:56:26,2021-03-11 00:00:00,1388000,CA,San Francisco,94121,2224 Clement #108
1679,48,2021-02-15 00:00:00,Craig Epstein,1900000,1598,1740,421528213,3,3,Compass,SINGLE_FAMILY_HOUSE,1959,94116,san-francisco-ca/1095-pacheco-st-san-francisco-ca-94116/pid_ibxxoad48g/for-sale/,Pending,PENDING,2021-03-15 07:31:17,2021-02-15 00:00:00,1900000,CA,San Francisco,94116,1095 Pacheco St
1680,49,2021-02-23 00:00:00,Bobbi Levenson,749000,2675,789,421526431,1,1,Corcoran Global Living,CONDO,1900,94110,san-francisco-ca/386-richland-ave-apt-c-san-francisco-ca-94110-110_421526431/for-sale/,Pending,PENDING,2021-03-14 17:21:23,2021-02-23 00:00:00,749000,CA,San Francisco,94110,386 Richland Ave #C
1681,49,2021-03-14 00:00:00,Denise Paulson,1799000,0,1311,421528410,2,2,Compass,CONDO,2014,94105,san-francisco-ca/401-harrison-st-apt-18b-san-francisco-ca-94105-110_506728/for-sale/,Active Under Contract,PENDING,2021-03-14 13:26:15,2021-03-14 00:00:00,1799000,CA,San Francisco,94105,401 Harrison St #18B
1683,51,2021-03-03 00:00:00,Kevin Kropp,899000,29037,862,421527936,1,1,Vanguard Properties,CONDO,1997,94105,san-francisco-ca/403-main-st-816n-san-francisco-ca-94105/pid_nizyoad48g/for-sale/,Active Under Contract,PENDING,2021-03-12 23:01:13,2021-03-03 00:00:00,899000,CA,San Francisco,94105,403 Main St #816N
1685,51,2021-03-12 00:00:00,Stanley Lo,699000,1999,990,421527994,1,3,Green Banker,SINGLE_FAMILY_HOUSE,1944,94134,san-francisco-ca/56-cielito-dr-san-francisco-ca-94134-12_11112705/for-sale/,Pending,PENDING,2021-03-12 22:46:23,2021-03-12 00:00:00,699000,CA,San Francisco,94134,56 Cielito Dr
1686,51,2021-03-12 00:00:00,Edward Deleski,1389000,2596,1400,421527832,2,3,Vanguard Properties,CONDO,1910,94110,san-francisco-ca/2814-21st-st-san-francisco-ca-94110-110_421527832/for-sale/,Pending,PENDING,2021-03-12 20:26:35,2021-03-12 00:00:00,1389000,CA,San Francisco,94110,2814 21st St
1687,51,2021-02-26 00:00:00,Arrian Binnings,1395000,3000,1131,421527751,2,2,Artemis Real Estate,CONDO,1914,94123,san-francisco-ca/2900-pierce-st-4-san-francisco-ca-94123-110_365549/for-sale/,Pending,PENDING,2021-03-12 17:26:37,2021-02-26 00:00:00,1395000,CA,San Francisco,94123,2900 Pierce St #4
